antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,zhang_metric,quality_category,rule_id,pattern
frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),0.023069151324652,0.024921418949259092,0.01723170184104176,0.7469586374695862,29.972556498103938,1.0,0.016656785856076252,3.85343554626783,0.9894621991696199,0.5602189781021897,0.7404913127537501,0.7192000394555138,0.9835849892368058,High Quality,0,Collection/Theme Set
frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),0.024921418949259092,0.023069151324652,0.01723170184104176,0.6914414414414414,29.972556498103938,1.0,0.016656785856076252,3.166111655560981,0.9913417900384085,0.5602189781021897,0.6841551692456604,0.7192000394555138,0.9835849892368058,High Quality,1,Collection/Theme Set
"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.022732375392905253,0.03665244723843736,0.020262685226762462,0.8913580246913582,24.319195356663457,1.0,0.01942948803706965,8.867176337918941,0.9811848815288707,0.5179340028694406,0.8872245276409274,0.7220955513962151,0.9787115423832237,High Quality,2,Color/Design Variant
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",0.03665244723843736,0.022732375392905253,0.020262685226762462,0.5528330781010721,24.319195356663457,1.0,0.01942948803706965,2.1854649276316196,0.9953626972148907,0.5179340028694406,0.5424314582418414,0.7220955513962151,0.9787115423832237,High Quality,3,Color/Design Variant
"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.028345307588684327,0.029467894027840145,0.020262685226762462,0.7148514851485149,24.258655351249413,1.0,0.01942740870655258,3.403602177194034,0.9867472541997299,0.539611360239163,0.7061936301778927,0.7012352663837813,0.9786068013435419,High Quality,4,Color/Design Variant
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.029467894027840145,0.028345307588684327,0.020262685226762462,0.6876190476190477,24.258655351249413,1.0,0.01942740870655258,3.1104799604630538,0.987888596232232,0.539611360239163,0.6785062071735286,0.7012352663837813,0.9786068013435419,High Quality,5,Color/Design Variant
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.024191737763807813,0.041086663673102826,0.020262685226762462,0.8375870069605569,20.38586081422033,1.0,0.01926872743359299,5.904166399384182,0.974521768296132,0.45012468827930185,0.83062807984133,0.6653782029338304,0.9706136317289176,High Quality,8,Color/Design Variant
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.041086663673102826,0.024191737763807813,0.020262685226762462,0.4931693989071039,20.38586081422033,1.0,0.01926872743359299,1.9253144149781476,0.9916916964310617,0.45012468827930185,0.4806043146924914,0.6653782029338304,0.9706136317289176,Medium Quality,9,Color/Design Variant
"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.021216883700044903,0.03665244723843736,0.015603951504265828,0.7354497354497355,20.06550151113704,1.0,0.01482630079388587,3.6414537494387074,0.9707597152006575,0.3691899070385126,0.7253844017230371,0.5805885736973027,0.9652245360741856,High Quality,10,Color/Design Variant
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",0.03665244723843736,0.021216883700044903,0.015603951504265828,0.42572741194486985,20.06550151113704,1.0,0.01482630079388587,1.7043876665169886,0.9863140426306044,0.3691899070385126,0.4132790211727148,0.5805885736973027,0.9652245360741856,Medium Quality,11,Color/Design Variant
"frozenset({'REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.019027840143691063,0.041086663673102826,0.015603951504265828,0.8200589970501475,19.95925012492545,1.0,0.01482216103585643,5.329042967456036,0.9683230128147868,0.3505674653215637,0.8123490453901562,0.5999202089075875,0.9649550287925664,High Quality,12,Color/Design Variant
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),"frozenset({'REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.041086663673102826,0.019027840143691063,0.015603951504265828,0.37978142076502736,19.95925012492545,1.0,0.01482216103585643,1.5816555528960754,0.990598296357061,0.3505674653215637,0.3677510895662715,0.5999202089075875,0.9649550287925664,Medium Quality,13,Color/Design Variant
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER OWL DESIGN'}),0.02621239335428828,0.03171306690615178,0.015603951504265828,0.5952890792291221,18.771097762028386,1.0,0.014772676120050916,2.392539670660461,0.9722105766882256,0.36870026525198935,0.5820340986346322,0.5436622387296053,0.9617334527861803,High Quality,18,Other Pattern
frozenset({'HAND WARMER OWL DESIGN'}),frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),0.03171306690615178,0.02621239335428828,0.015603951504265828,0.49203539823008846,18.771097762028386,1.0,0.014772676120050916,1.9170383197032304,0.9777335397927093,0.36870026525198935,0.47836201826429514,0.5436622387296053,0.9617334527861803,Medium Quality,19,Other Pattern
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.032891782667265376,0.038055680287382126,0.02239559946115851,0.6808873720136519,17.891872300582925,1.0,0.021143880295891003,3.0144351409176156,0.9762182589381173,0.4612716763005781,0.6682628906404028,0.6346914736174454,0.9657369582306804,High Quality,20,Other Pattern
frozenset({'SPACEBOY LUNCH BOX'}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.038055680287382126,0.032891782667265376,0.02239559946115851,0.588495575221239,17.891872300582925,1.0,0.021143880295891003,2.3501769582494414,0.9814587817425465,0.4612716763005781,0.5745001258352637,0.6346914736174454,0.9657369582306804,High Quality,21,Other Pattern
frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),0.035305343511450385,0.04198473282442748,0.025763358778625955,0.7297297297297297,17.38083538083538,1.0,0.024281073364023076,3.544656488549618,0.9769571747811115,0.5,0.717885215893184,0.6716830466830467,0.9673885442739506,High Quality,22,Other Pattern
frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),0.04198473282442748,0.035305343511450385,0.025763358778625955,0.6136363636363636,17.38083538083538,1.0,0.024281073364023076,2.4968567579703635,0.983768629186956,0.5,0.5994964481611366,0.6716830466830467,0.9673885442739506,High Quality,23,Other Pattern
frozenset({'LARGE WHITE HEART OF WICKER'}),frozenset({'SMALL WHITE HEART OF WICKER'}),0.02828917826672654,0.03238661876964526,0.01571621014818141,0.5555555555555556,17.153860966685922,1.0,0.014800019316350404,2.1771301077682983,0.969119685767098,0.34956304619225964,0.5406797249131492,0.5204120932023878,0.9567404197080293,High Quality,24,Color/Design Variant
frozenset({'SMALL WHITE HEART OF WICKER'}),frozenset({'LARGE WHITE HEART OF WICKER'}),0.03238661876964526,0.02828917826672654,0.01571621014818141,0.48526863084922006,17.153860966685922,1.0,0.014800019316350404,1.8878018321215444,0.9732235048436685,0.34956304619225964,0.47028338304122597,0.5204120932023878,0.9567404197080293,Medium Quality,25,Color/Design Variant
